La monja,Ingles,2018,1.36,Terror,Corin Hardy,Pelicula,1111,2.534009,3,7.602027
It (Eso),Ingles,2017,2.15,Terror,Andy Muschietti,Pelicula,1126,3.78,1,3.78
La noche del demonio,Ingles,2010,1.43,Terror,James Wan,Pelicula,1141,3.968533,1,3.968533
Annabelle,Ingles,2014,1.39,Terror,John R. Leonetti,Pelicula,1156,3.596773,1,3.596773
12 horas para sobrevivir,Ingles,2014,1.25,Accion,James DeMonaco,Pelicula,1166,4.21152,1,4.21152
Deadpool,Ingles,2016,1.48,Accion,Tim Miller,Pelicula,1186,4.34152,1,4.34152
Thor,Ingles,2011,1.55,Accion,Kenneth Branagh,Pelicula,1201,4.294267,1,4.294267
Spider Man No Way Home,Ingles,2021,2.28,Accion,Jon Watts,Pelicula,1216,3.99,1,3.99
The Batman,Ingles,2022,2.56,Accion,Matt Reeves,Pelicula,1231,4.022,1,4.022
Turbo,Ingles,2013,1.36,Animacion,David Soren,Pelicula,1246,4.201014,1,4.201014
Up,Ingles,2009,1.36,Animacion,Pete Docter,Pelicula,1261,4.178,1,4.178
El Rey León,Ingles,1994,1.28,Animacion,Roger Allers,Pelicula,1276,4.226,1,4.226
A Silent Voice,Japones,2016,2.09,Animacion,Naoko Yamada,Pelicula,1291,4.08,1,4.08
Kung Fu Panda 2,Ingles,2011,1.32,Animacion,Jennifer Yuh Nelson,Pelicula,1306,4.24,1,4.24
Juego de gemelas,Ingles,1998,2.08,Aventura,Nancy Meyers,Pelicula,1321,4.56152,1,4.56152
Alicia en el país de las maravillas,Ingles,2010,1.48,Aventura,Tim Burton,Pelicula,1336,4.31,1,4.31
El castillo de cristal,Ingles,2017,2.07,Biografica,Destin Daniel Cretton,Pelicula,1351,4.26152,1,4.26152
Patch Adams,Ingles,1998,1.55,Biografica,Tom Shadyac,Pelicula,1366,4.11976,1,4.11976
En busca de la felicidad,Ingles,2006,1.57,Biografica,Gabriele Muccino,Pelicula,1381,4.65752,1,4.65752
Jurassic Park,Ingles,1993,2.07,Ciencia ficcion,Steven Spielberg,Pelicula,1396,4.33576,1,4.33576
Doctor Strange,Ingles,2016,1.55,Ciencia ficcion,Scott Derickson,Pelicula,1411,4.32328,1,4.32328
Transformers: El lado oscuro de la luna,Ingles,2011,2.34,Ciencia ficcion,Michael Bay,Pelicula,1426,4.201014,1,4.201014
Terminator,Ingles,1984,1.47,Ciencia ficcion,James Cameron,Pelicula,1441,4.376,1,4.376
Avengers,Ingles,2012,2.23,Ciencia ficcion,Joss Whedon,Pelicula,1456,4.497253,1,4.497253
Muppets,Ingles,2011,1.43,Comedia,James Bobin,Pelicula,1471,4.024,1,4.024
Garfield,Ingles,2004,1.26,Comedia,Peter Hewitt,Pelicula,1486,3.99,1,3.99
El Gato con Botas,Ingles,2022,1.4,Comedia,Chris Miller,Pelicula,1501,4.29234,1,4.29234
El Gran Showman,Ingles,2017,1.45,Comedia,Michael Gracey,Pelicula,1516,4.118,1,4.118
No se aceptan devoluciones,Español,2013,2.02,Comedia,Eugenio Derbez,Pelicula,1531,4.325253,1,4.325253
La vida es bella,Italiano,1997,1.56,Drama,Roberto Benigni,Pelicula,1546,4.340773,1,4.340773
El niño con el pijamas de rayas,Ingles,2008,1.34,Drama,Mark Herman,Pelicula,1561,4.277013,1,4.277013
Siempre a tu lado (Hachi),Ingles,2009,1.33,Drama,Lasse Hallström,Pelicula,1576,4.52,1,4.52
El diablo viste a la moda,Ingles,2006,1.49,Drama,David Frankel,Pelicula,1591,4.512,1,4.512
Tratamiento real,Ingles,2022,1.36,Romance,Rick Jacobson,Pelicula,1606,4.16776,1,4.16776
Culpa mía,Español,2023,1.57,Romance,Mercedes Ron,Pelicula,1621,3.93752,1,3.93752
El diario de Bridget Jones,Ingles,2001,1.37,Romance,Sharon Maguire,Pelicula,1636,4.252,1,4.252
10 cosas que odio de ti,Ingles,1999,1.37,Romance,Gil Junger,Pelicula,1651,4.559,2,9.118
Harry Potter y la Piedra Filosofal,Ingles,2001,2.32,Ciencia ficcion,Chris Columbus,Pelicula,1666,4.382,1,4.382
Harry Potter y la Cámara Secreta,Ingles,2002,2.41,Ciencia ficcion,Chris Columbus,Pelicula,1681,4.274,1,4.274
Harry Potter y el Prisionero de Azkaban,Ingles,2004,2.19,Ciencia ficcion,Alfonso Cuaron,Pelicula,1696,4.466,1,4.466
