Breaking Bad,Ingles,2013,5,Drama,Vince Giligan,Serie,2111,4.600000,3,7.602027
Chernobyl,Ingles,2019,1,Drama,David Benioff,Serie,2126,2.593333,3,7.780000
Por mandato del cielo,Ingles,2022,1,Drama,Dustin Lance,Serie,2141,3.300000,1,3.968533
Junji Ito Maniac: Relatos japoneses de lo macabro,Japones,2023,1,Terror,Shinobu Tagashira,Serie,2156,3.000000,1,3.596773
Slasher,Ingles,2016,1,Terror,Ryan Murphy,Serie,2171,3.700000,1,4.211520
30 monedas,Español,2020,2,Terror,Alex de la Iglesia,Serie,2186,3.600000,1,4.341520
Sanditon,Ingles,2019,1,Romance,Andrew Davies,Serie,2201,3.800000,1,4.294267
Heartstopper,Ingles,2022,2,Romance,Euros Lyn,Serie,2216,4.200000,1,3.990000
Nuestra bandera significa muerte,Ingles,2023,2,Romance,David Jenkins,Serie,2231,3.300000,1,4.022000
Miracle Workers,Ingles,2023,4,Comedia,Simon Rich,Serie,2246,3.500000,1,4.201014
Dinosaurios,Ingles,1991,4,Comedia,Michael Jacobs,Serie,2261,3.500000,1,4.178000
Scream Queens,Ingles,2016,2,Comedia,Ryan Murphy,Serie,2276,3.900000,1,4.226000
Assassination Classroom,Japones,2015,2,Animacion,Y?sei Matsui,Serie,2291,3.200000,1,4.080000
